@relation lavadero_autos-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5

@attribute Dia_Semana {Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo}
@attribute Hora numeric
@attribute Clima {Soleado,Lluvioso,Nublado}
@attribute Temperatura numeric
@attribute Historial_Visitas numeric
@attribute Promociones_Activas {Si,No}
@attribute Demanda_Alta {Si,No}

@data
Martes,11,Soleado,30.4,4,Si,No
Jueves,8,Nublado,19.3,15,No,No
Miercoles,15,Lluvioso,11.7,13,Si,No
Sabado,16,Lluvioso,20,12,No,Si
Lunes,19,Nublado,23.7,5,Si,Si
Lunes,8,Lluvioso,10.5,7,Si,No
Sabado,18,Lluvioso,10.8,9,Si,Si
Miercoles,19,Nublado,18.6,2,Si,No
Miercoles,14,Lluvioso,21.7,5,No,No
Viernes,15,Nublado,22.8,4,Si,No
Viernes,15,Nublado,18.7,5,Si,No
Miercoles,9,Lluvioso,11.4,5,No,No
Martes,18,Nublado,26.7,20,Si,Si
Domingo,18,Soleado,24.3,16,No,Si
Lunes,18,Soleado,26.4,12,No,No
Sabado,13,Nublado,18.5,2,Si,Si
Lunes,12,Nublado,18.7,19,No,No
Domingo,15,Soleado,32.8,15,No,Si
Martes,19,Nublado,26.2,16,Si,No
Jueves,16,Lluvioso,15.8,3,Si,No
Miercoles,20,Nublado,18.6,10,Si,Si
Martes,9,Lluvioso,24.7,17,Si,No
Viernes,16,Lluvioso,15,8,Si,No
Sabado,19,Soleado,24.8,18,No,Si
Viernes,8,Nublado,18.5,1,Si,No
Domingo,14,Lluvioso,11.7,16,Si,Si
Martes,13,Lluvioso,21.5,12,Si,No
Viernes,19,Nublado,16.2,19,No,Si
Viernes,18,Lluvioso,21.8,12,Si,Si
Martes,10,Soleado,24,19,No,No
Domingo,17,Nublado,15.2,9,Si,Si
Domingo,16,Nublado,24.5,19,Si,Si
Sabado,18,Lluvioso,22.5,10,No,Si
Jueves,19,Lluvioso,23.8,9,No,Si
Domingo,16,Nublado,26.2,11,No,Si
Lunes,19,Soleado,21.6,11,Si,Si
Sabado,18,Lluvioso,22.4,6,No,No
Martes,11,Soleado,30.9,2,No,No
Lunes,13,Soleado,24.1,15,Si,No
Lunes,14,Lluvioso,13.9,14,Si,No
Sabado,17,Nublado,24.7,0,Si,Si
Martes,14,Lluvioso,23.8,9,No,No
Jueves,8,Nublado,17.6,8,Si,No
Lunes,10,Lluvioso,15.6,17,Si,No
Viernes,20,Nublado,28.4,9,Si,No
Lunes,12,Lluvioso,18.1,20,No,No
Sabado,11,Soleado,21.7,12,Si,Si
Sabado,11,Nublado,15.1,6,Si,No
Viernes,16,Lluvioso,19,8,Si,No
Viernes,14,Soleado,21.3,6,No,No
Viernes,20,Nublado,29.4,13,No,Si
Sabado,8,Nublado,18.7,6,No,Si
Viernes,10,Lluvioso,14.7,15,Si,No
Sabado,15,Lluvioso,15.3,13,Si,No
Lunes,11,Nublado,22,12,No,No
Domingo,14,Lluvioso,18.9,7,Si,Si
Miercoles,16,Soleado,34.8,12,No,No
Sabado,15,Soleado,29.4,17,Si,Si
Jueves,8,Soleado,32.4,12,No,No
Lunes,20,Nublado,29.5,11,Si,No
Viernes,14,Lluvioso,24,19,Si,No
Jueves,9,Lluvioso,18.1,8,Si,No
Sabado,16,Lluvioso,11.3,15,No,Si
Domingo,17,Nublado,16.8,9,No,No
Domingo,13,Lluvioso,21.8,1,Si,Si
Sabado,10,Soleado,29.7,16,Si,Si
Miercoles,15,Nublado,17.2,8,No,No
Martes,12,Soleado,32.8,4,No,No
Martes,14,Lluvioso,14.1,1,No,No
Domingo,8,Nublado,15.4,6,No,Si
Viernes,19,Lluvioso,19.1,6,No,No
Miercoles,16,Nublado,18.2,10,Si,No
Viernes,16,Soleado,31.3,17,Si,No
Lunes,8,Nublado,18,0,No,No
Viernes,16,Nublado,28.5,1,Si,No
Domingo,17,Soleado,30.1,18,Si,No
Martes,16,Soleado,31.2,11,No,No
Miercoles,20,Nublado,20.9,14,Si,Si
Viernes,19,Nublado,21.6,7,No,Si
Lunes,12,Lluvioso,15,11,No,No
Viernes,16,Soleado,31.9,15,Si,No
Miercoles,19,Soleado,23.9,19,No,No
Miercoles,8,Soleado,30.1,0,Si,No
Martes,11,Soleado,23.3,7,Si,No
Lunes,19,Soleado,33.4,7,Si,Si
Martes,14,Soleado,28.6,7,No,No
Viernes,18,Nublado,20.1,17,Si,No
Sabado,14,Lluvioso,15.8,16,No,No
Viernes,13,Lluvioso,13.9,8,Si,No
Sabado,19,Lluvioso,20.7,4,Si,Si
Jueves,11,Lluvioso,19.8,13,No,No
Viernes,18,Lluvioso,11.4,9,Si,No
Lunes,18,Lluvioso,23.7,3,Si,Si
Viernes,16,Soleado,32.6,4,No,No
Viernes,10,Nublado,19.3,5,Si,No
Domingo,9,Soleado,23.8,13,Si,Si
Viernes,14,Soleado,32.5,4,No,No
Viernes,13,Nublado,16.1,1,No,No
Sabado,9,Soleado,30.2,5,No,Si
Martes,14,Nublado,21,15,Si,No
Viernes,15,Lluvioso,15.9,4,No,No
Viernes,14,Soleado,26.3,7,Si,No
Lunes,12,Lluvioso,19.1,18,Si,No
Miercoles,17,Lluvioso,14,15,Si,Si
Domingo,13,Lluvioso,12,5,No,Si
Viernes,9,Soleado,21,3,No,No
Miercoles,10,Lluvioso,12.4,14,Si,No
Martes,13,Nublado,24.5,6,Si,No
Domingo,20,Soleado,22.6,11,No,Si
Jueves,10,Lluvioso,13,9,No,No
Lunes,19,Nublado,20.1,6,Si,Si
Sabado,9,Lluvioso,22.2,0,Si,Si
Domingo,15,Nublado,29.6,9,Si,Si
Miercoles,19,Soleado,34.2,5,Si,Si
Viernes,16,Soleado,30.2,7,Si,No
Jueves,16,Nublado,24.5,11,No,No
Lunes,17,Lluvioso,17.3,18,Si,Si
Jueves,15,Lluvioso,14.2,8,No,No
Miercoles,9,Soleado,31.5,5,Si,No
Miercoles,11,Lluvioso,14.7,6,Si,No
Sabado,12,Soleado,34.8,7,Si,Si
Sabado,15,Lluvioso,23,19,Si,Si
Sabado,12,Soleado,32.3,9,No,No
Lunes,16,Lluvioso,20,10,Si,No
Martes,16,Lluvioso,22.2,4,Si,No
Viernes,12,Nublado,15.9,13,Si,No
Martes,19,Lluvioso,16.8,8,Si,No
Domingo,20,Lluvioso,10.3,16,No,Si
Martes,17,Soleado,28.9,15,Si,Si
Sabado,9,Soleado,33,3,No,Si
Domingo,16,Nublado,21.1,14,Si,Si
Sabado,15,Soleado,25.8,18,Si,No
Sabado,11,Lluvioso,20.4,20,Si,Si
Jueves,14,Soleado,25.7,19,Si,No
Sabado,16,Soleado,21.7,1,No,No
Sabado,8,Lluvioso,22.3,5,No,No
Lunes,8,Soleado,34.6,4,Si,No
Domingo,17,Soleado,33.1,16,No,Si
Miercoles,11,Soleado,33.1,16,No,No
Lunes,19,Soleado,34.9,14,Si,Si
Jueves,15,Lluvioso,21.4,8,Si,No
Lunes,12,Nublado,19.8,8,No,No
Sabado,13,Lluvioso,22.7,4,Si,No
Martes,8,Lluvioso,18.7,1,Si,No
Viernes,12,Lluvioso,21.4,2,Si,No
Martes,15,Soleado,22,3,Si,No
Domingo,8,Soleado,34.5,16,No,Si
Miercoles,11,Lluvioso,12.8,18,No,No
Martes,10,Lluvioso,11.4,7,Si,No
Sabado,15,Soleado,25.9,10,No,Si
Lunes,15,Nublado,29.5,1,Si,No
Sabado,8,Nublado,19.1,16,Si,Si
Jueves,19,Nublado,19.5,16,Si,No
Lunes,8,Nublado,21.1,15,Si,No
Miercoles,16,Nublado,21.6,0,Si,No
Lunes,12,Lluvioso,18,19,Si,No
Lunes,10,Nublado,20.8,3,Si,No
Miercoles,18,Soleado,22.1,6,Si,Si
Sabado,19,Soleado,30.9,11,Si,No
Lunes,16,Soleado,30.1,8,No,No
Lunes,14,Nublado,27.6,17,Si,No
Miercoles,15,Soleado,28.4,14,No,No
Domingo,11,Lluvioso,16.6,5,No,Si
Miercoles,10,Lluvioso,23.3,6,Si,No
Domingo,11,Soleado,24.8,13,No,Si
Lunes,18,Nublado,20.8,17,No,Si
Sabado,19,Lluvioso,19.7,15,No,No
Martes,20,Lluvioso,22.7,0,Si,Si
Jueves,14,Soleado,30.2,1,No,No
Jueves,8,Nublado,20.4,14,No,No
Miercoles,9,Lluvioso,19.4,19,Si,No
Viernes,14,Soleado,24.9,10,Si,No
Viernes,11,Lluvioso,16.4,20,Si,No
Domingo,16,Nublado,24.7,10,Si,Si
Sabado,14,Soleado,21,13,Si,Si
Viernes,9,Lluvioso,11.4,12,No,No
Jueves,9,Lluvioso,21.9,10,No,No
Domingo,13,Nublado,27.2,14,Si,Si
Jueves,9,Soleado,25.8,18,No,No
Lunes,11,Soleado,33.5,16,Si,No
Martes,13,Soleado,32.8,14,Si,No
Jueves,13,Soleado,22.8,11,No,No
Lunes,9,Lluvioso,10.6,0,No,No
Domingo,16,Nublado,29.1,8,No,No
Sabado,16,Lluvioso,19,13,No,No
Viernes,14,Soleado,25,2,Si,No
Sabado,8,Lluvioso,14,8,No,Si
Martes,11,Soleado,22.4,15,Si,No
Viernes,9,Lluvioso,12.9,12,Si,No
Miercoles,10,Nublado,18.6,10,No,No
Domingo,11,Soleado,24.1,4,No,Si
Martes,17,Nublado,25.8,6,Si,No
Sabado,20,Nublado,22.8,12,No,No
Lunes,14,Lluvioso,15.3,4,Si,No
Viernes,10,Lluvioso,22.9,6,Si,No
Miercoles,9,Lluvioso,18.9,15,No,No
Jueves,19,Nublado,25.7,12,No,Si
Domingo,16,Soleado,28.9,3,Si,Si
Jueves,9,Lluvioso,22.6,8,No,No
Domingo,10,Lluvioso,14.5,20,Si,No
Jueves,14,Soleado,32.6,12,No,No
Miercoles,11,Nublado,29.7,10,Si,No
Martes,9,Nublado,15.6,10,Si,No
Martes,12,Soleado,32.5,15,No,No
Lunes,20,Nublado,16.7,0,No,Si
Jueves,15,Lluvioso,17.1,6,No,No
Lunes,14,Lluvioso,21.6,15,No,No
Sabado,13,Lluvioso,23.6,12,Si,Si
Domingo,9,Nublado,18.3,19,No,Si
Miercoles,14,Lluvioso,12.8,14,No,No
Viernes,13,Soleado,32.3,3,Si,No
Miercoles,11,Nublado,27.2,15,Si,No
Sabado,11,Lluvioso,14.3,8,Si,Si
Jueves,15,Soleado,27.7,3,Si,No
Sabado,11,Soleado,34.6,16,No,Si
Miercoles,13,Soleado,22.1,5,No,No
Lunes,15,Soleado,20.2,7,Si,No
Martes,9,Soleado,26.5,16,No,No
Domingo,17,Soleado,24.3,6,Si,Si
Jueves,18,Soleado,28,12,No,No
Viernes,20,Soleado,27.6,17,No,Si
Domingo,19,Nublado,23.4,8,No,Si
Miercoles,16,Nublado,16.4,4,No,No
Miercoles,12,Nublado,23.3,0,No,No
Lunes,14,Nublado,23.3,9,Si,No
Lunes,14,Nublado,17.9,1,Si,No
Sabado,12,Nublado,20.4,11,No,Si
Martes,8,Lluvioso,19.1,2,Si,No
Viernes,19,Soleado,25,20,No,Si
Sabado,18,Lluvioso,20.2,3,Si,No
Miercoles,9,Nublado,25.7,10,Si,No
Domingo,9,Lluvioso,10.8,3,Si,Si
Sabado,13,Lluvioso,16,11,No,Si
Lunes,9,Nublado,22.4,20,Si,No
Lunes,9,Lluvioso,12.9,16,No,No
Martes,17,Lluvioso,15.5,0,Si,Si
Lunes,19,Nublado,22.7,0,Si,Si
Jueves,8,Nublado,15.5,17,Si,No
Domingo,19,Nublado,17.3,18,No,Si
Miercoles,12,Lluvioso,17.7,14,Si,No
Martes,15,Soleado,26.2,11,Si,No
Sabado,15,Soleado,20.2,8,No,Si
Domingo,14,Soleado,28.7,0,Si,Si
Lunes,14,Nublado,27.7,4,No,No
Lunes,18,Lluvioso,18.7,9,No,No
Viernes,15,Soleado,26.4,0,No,No
Jueves,14,Soleado,24.1,4,No,No
Martes,11,Nublado,16.8,3,No,No
Domingo,10,Lluvioso,14.2,9,No,Si
Viernes,18,Lluvioso,16.9,7,No,No
Domingo,17,Soleado,27.4,12,No,No
Jueves,16,Nublado,24.8,12,No,No
Viernes,13,Lluvioso,19.3,4,Si,No
Miercoles,9,Lluvioso,16.4,9,Si,No
Domingo,14,Soleado,30.2,3,No,Si
Lunes,18,Nublado,23.4,5,Si,Si
Jueves,13,Nublado,16,3,No,No
Miercoles,9,Soleado,24.1,9,Si,No
Jueves,17,Nublado,29.2,8,Si,Si
Lunes,11,Soleado,30.4,0,No,No
Jueves,13,Nublado,22.1,17,No,No
Martes,11,Nublado,16.1,17,Si,No
Jueves,15,Lluvioso,13.7,8,No,No
Martes,11,Nublado,19.5,11,No,No
Jueves,17,Nublado,27.2,12,No,Si
Sabado,9,Lluvioso,20.7,7,No,Si
Miercoles,11,Lluvioso,17.8,14,No,No
Sabado,11,Lluvioso,24.8,11,No,No
Viernes,15,Lluvioso,19.2,18,Si,No
Martes,11,Lluvioso,24.2,6,No,No
Viernes,14,Nublado,21,11,Si,No
Miercoles,19,Lluvioso,18.7,9,Si,No
Miercoles,12,Soleado,32.3,3,No,No
Viernes,13,Nublado,28.6,11,Si,No
Miercoles,11,Lluvioso,24.5,2,No,No
Martes,16,Soleado,25.9,15,Si,No
Martes,14,Lluvioso,21.7,11,No,No
Martes,12,Soleado,33.1,18,Si,No
Domingo,8,Nublado,20,1,Si,Si
Miercoles,9,Nublado,19.3,4,No,No
Lunes,16,Soleado,33.8,7,Si,No
Lunes,17,Nublado,22.8,15,No,No
Viernes,11,Lluvioso,22.5,18,No,No
Viernes,10,Soleado,26.7,6,No,No
Viernes,8,Nublado,28.9,16,No,No
Domingo,17,Soleado,28.4,14,Si,No
Lunes,11,Lluvioso,16.3,5,Si,No
Domingo,19,Nublado,17.1,15,Si,Si
Jueves,17,Lluvioso,23.9,19,Si,No
Miercoles,20,Lluvioso,10.8,5,No,Si
Martes,12,Lluvioso,13.2,15,Si,No
Viernes,13,Soleado,30,14,No,No
Domingo,16,Lluvioso,23.5,8,Si,Si
Domingo,12,Soleado,24.2,1,No,No
Lunes,11,Soleado,32.4,4,No,No
Miercoles,17,Nublado,20.4,10,No,No
Domingo,16,Lluvioso,12.5,4,Si,No
Jueves,19,Lluvioso,24.5,3,No,Si
Sabado,8,Soleado,33.5,17,No,No
Miercoles,13,Nublado,17.3,13,Si,No
Jueves,10,Lluvioso,13.1,2,No,No
Martes,16,Nublado,17.8,0,No,No
Lunes,11,Nublado,26.1,5,Si,No
Domingo,18,Soleado,25.4,0,Si,Si
Miercoles,13,Nublado,28.7,8,No,No
Lunes,10,Lluvioso,10.1,20,No,No
Jueves,17,Lluvioso,22.8,5,No,No
Domingo,19,Nublado,27.8,8,Si,Si
Viernes,8,Lluvioso,11,7,Si,No
Jueves,13,Nublado,29.6,19,No,No
Lunes,12,Soleado,20.2,3,Si,No
Martes,15,Nublado,21.4,19,Si,No
Viernes,11,Soleado,23.5,12,Si,No
Domingo,16,Lluvioso,18.9,19,Si,Si
Viernes,15,Soleado,25.7,12,No,No
Domingo,12,Lluvioso,23.2,18,No,Si
Domingo,19,Nublado,15.1,8,Si,No
Viernes,17,Nublado,15.7,19,Si,Si
Sabado,8,Soleado,29.3,5,No,Si
Lunes,9,Nublado,19.1,8,Si,No
Viernes,18,Soleado,22,4,Si,No
Martes,13,Lluvioso,17.2,8,Si,No
Domingo,12,Lluvioso,10.3,14,Si,Si
Jueves,18,Lluvioso,19.2,14,Si,Si
Jueves,20,Soleado,28.6,10,Si,Si
Miercoles,15,Soleado,20.8,8,No,No
Jueves,20,Nublado,24.2,17,No,No
Lunes,12,Nublado,18.1,10,Si,No
Martes,18,Soleado,21,2,No,Si
Lunes,10,Soleado,20.8,17,No,No
Miercoles,9,Soleado,20.2,16,No,No
Miercoles,17,Soleado,31.2,0,Si,Si
Viernes,15,Soleado,34.6,12,Si,No
Domingo,16,Soleado,33.5,0,No,Si
Viernes,9,Nublado,28.9,6,Si,No
Lunes,14,Soleado,31.1,3,Si,No
Viernes,16,Nublado,28,2,No,No
Jueves,18,Soleado,33.2,11,Si,Si
Sabado,13,Soleado,33.1,12,No,Si
Lunes,9,Nublado,21.1,6,Si,No
Domingo,11,Soleado,20.9,18,Si,Si
Sabado,9,Soleado,30.9,3,No,Si
Domingo,19,Lluvioso,10,6,Si,Si
Jueves,14,Nublado,21.9,15,No,No
Miercoles,14,Lluvioso,13.4,7,No,No
Jueves,10,Lluvioso,13.7,14,No,No
Lunes,16,Lluvioso,13,15,Si,No
Miercoles,14,Nublado,18.3,12,No,No
Domingo,18,Soleado,33.5,14,Si,Si
Jueves,18,Nublado,21.4,9,No,Si
Viernes,15,Nublado,28.6,14,No,No
Domingo,19,Nublado,18.9,7,No,Si
Sabado,17,Lluvioso,22.7,3,No,No
Viernes,15,Lluvioso,20.9,5,No,No
Domingo,19,Nublado,28.9,4,No,Si
Sabado,19,Nublado,23.8,13,Si,Si
Lunes,20,Nublado,15.9,17,No,No
Lunes,19,Lluvioso,22.2,3,No,Si
Domingo,17,Soleado,30.4,18,No,Si
Lunes,17,Soleado,32.6,20,Si,Si
Miercoles,10,Lluvioso,17.3,16,Si,No
Domingo,15,Nublado,17,10,Si,Si
Miercoles,13,Nublado,22.8,8,No,No
Miercoles,8,Soleado,21.3,5,Si,No
Jueves,15,Nublado,15.8,8,Si,No
Lunes,9,Soleado,29.6,4,No,No
Domingo,9,Lluvioso,17,6,Si,Si
Viernes,11,Soleado,20.8,17,Si,No
Lunes,17,Nublado,16.5,9,No,No
Lunes,19,Nublado,15.8,7,No,Si
Sabado,14,Lluvioso,23.2,11,No,Si
Martes,18,Lluvioso,20.5,1,No,Si
Miercoles,8,Lluvioso,21.7,14,No,No
Sabado,8,Soleado,21.6,16,Si,Si
Sabado,13,Nublado,18,10,Si,Si
Viernes,8,Nublado,23.9,0,No,No
Viernes,9,Lluvioso,18.2,7,Si,No
Martes,8,Lluvioso,13,4,No,No
Miercoles,17,Lluvioso,22.5,9,No,Si
Miercoles,11,Nublado,21.2,9,Si,No
Lunes,10,Soleado,21.8,4,Si,No
Sabado,14,Soleado,30,8,Si,Si
Martes,10,Lluvioso,14.2,19,Si,No
Viernes,12,Lluvioso,20.8,0,Si,No
Domingo,14,Lluvioso,17.7,3,No,Si
Lunes,17,Soleado,26.4,5,Si,Si
Miercoles,9,Nublado,24.9,16,No,No
Sabado,8,Nublado,18.3,16,No,Si
Domingo,8,Soleado,22.4,2,Si,Si
Jueves,15,Nublado,26.9,16,Si,No
Lunes,20,Soleado,26.8,11,Si,Si
Viernes,18,Nublado,28.9,12,No,Si
Lunes,13,Nublado,21.4,3,No,No
Martes,13,Lluvioso,18.4,11,Si,No
Jueves,9,Lluvioso,22.3,5,No,No
Jueves,16,Nublado,17,11,No,No
Jueves,11,Soleado,28.8,6,No,No
Sabado,9,Soleado,33.5,9,Si,Si
Martes,15,Nublado,17.3,14,Si,No
Sabado,13,Soleado,25,3,No,Si
Viernes,10,Lluvioso,18,10,No,No
Jueves,15,Lluvioso,11,14,No,No
Domingo,15,Soleado,21.2,15,Si,Si
Jueves,19,Soleado,25.8,15,Si,Si
Sabado,13,Nublado,21.4,17,Si,Si
Sabado,20,Lluvioso,18.3,6,No,Si
Domingo,8,Soleado,31.1,3,No,Si
Sabado,18,Soleado,25.3,16,Si,Si
Miercoles,17,Lluvioso,17.1,16,No,Si
Viernes,8,Nublado,28.4,5,Si,No
Sabado,13,Lluvioso,18.6,7,Si,Si
Domingo,18,Lluvioso,12.5,6,No,No
Miercoles,19,Lluvioso,14,18,Si,No
Jueves,17,Soleado,26.2,4,No,Si
Sabado,11,Soleado,24.1,1,Si,Si
Domingo,17,Lluvioso,15.7,3,No,No
Viernes,8,Nublado,16.4,18,No,No
